tree,day,female,male
209,3008,0.0,1.0
209,3023,0.0,1.0
209,3038,0.0,1.0
209,3051,1.0,0.0
209,3066,1.0,0.0
209,3079,1.0,0.0
209,3093,1.0,0.0
209,3121,1.0,0.0
209,3134,1.0,0.0
209,3149,1.0,0.0
209,3164,1.0,0.0
209,3178,1.0,0.0
209,3191,1.0,0.0
209,3206,1.0,0.0
209,3219,0.0,1.0
210,1912,0.0,1.0
210,1926,0.0,1.0
210,1947,0.0,1.0
210,1961,0.0,1.0
210,1976,1.0,0.0
210,1989,1.0,0.0
210,2003,1.0,0.0
210,2018,1.0,0.0
210,2044,1.0,0.0
210,2241,3.0,0.0
210,2255,1.0,0.0
210,2268,2.0,0.0
210,2283,2.0,0.0
210,2311,0.0,1.0
210,2325,0.0,2.0
210,2339,0.0,1.0
210,2354,0.0,1.0
210,2368,0.0,2.0
210,2383,0.0,1.0
210,2395,1.0,0.0
210,2438,2.0,0.0
210,2466,1.0,0.0
210,2479,1.0,0.0
210,2548,1.0,0.0
210,2563,1.0,0.0
210,2577,2.0,0.0
210,2605,2.0,0.0
210,2620,1.0,0.0
210,2632,2.0,0.0
210,2651,1.0,0.0
210,2665,1.0,0.0
210,2677,1.0,0.0
210,2747,0.0,1.0
210,2759,0.0,1.0
210,2774,0.0,1.0
210,2788,0.0,2.0
210,2802,0.0,1.0
210,2814,0.0,1.0
210,2830,0.0,1.0
210,2914,1.0,0.0
210,2927,2.0,0.0
210,2943,2.0,0.0
210,2955,1.0,0.0
210,2969,2.0,0.0
210,2983,1.0,0.0
210,2995,1.0,0.0
210,3010,1.0,0.0
210,3026,2.0,0.0
210,3041,0.0,1.0
210,3053,0.0,1.0
210,3081,0.0,1.0
210,3095,0.0,1.0
210,3123,0.0,1.0
210,3137,0.0,1.0
211,407,3.0,0.0
211,423,2.0,0.0
211,436,1.0,0.0
211,450,1.0,0.0
211,464,1.0,0.0
211,478,1.0,0.0
211,491,2.0,0.0
211,505,1.0,0.0
211,518,1.0,0.0
211,533,1.0,0.0
211,547,1.0,0.0
211,562,1.0,0.0
211,591,1.0,0.0
211,750,1.0,0.0
211,764,1.0,0.0
211,780,2.0,0.0
211,792,2.0,0.0
211,806,1.0,0.0
211,820,2.0,0.0
211,832,1.0,0.0
211,848,2.0,0.0
211,861,1.0,0.0
211,873,2.0,0.0
211,889,0.0,1.0
211,918,0.0,1.0
211,962,0.0,2.0
211,988,1.0,0.0
211,1002,1.0,0.0
211,1015,1.0,0.0
211,1029,1.0,0.0
211,1044,1.0,0.0
211,1058,1.0,0.0
211,1072,1.0,0.0
211,1087,1.0,0.0
211,1101,1.0,0.0
211,1114,1.0,0.0
211,1128,1.0,0.0
211,1143,1.0,0.0
211,1156,1.0,0.0
211,1172,1.0,0.0
211,1189,1.0,0.0
211,1213,1.0,0.0
211,1225,0.0,1.0
211,1241,1.0,0.0
211,1254,1.0,0.0
211,1283,1.0,0.0
211,1298,1.0,0.0
211,1323,1.0,0.0
211,1338,1.0,0.0
211,1354,1.0,0.0
211,1368,2.0,0.0
211,1396,1.0,0.0
211,1408,1.0,0.0
211,1422,1.0,0.0
211,1450,1.0,0.0
211,1463,1.0,0.0
211,1478,1.0,0.0
211,1491,1.0,0.0
211,1505,1.0,0.0
211,1519,1.0,0.0
211,1533,1.0,0.0
211,1549,1.0,0.0
211,1562,1.0,0.0
211,1576,1.0,0.0
211,1592,1.0,0.0
211,1604,1.0,0.0
211,1617,1.0,0.0
211,1631,1.0,0.0
211,1675,1.0,0.0
211,1688,1.0,0.0
211,1702,1.0,0.0
